player_id,name,name_normalized,birth_date,nationality,position,foot,height_cm,weight_kg,source,source_id
sb_6353,Vladimir Granat,vladimir granat,,Russia,,,,,statsbomb,6353
sb_6354,Aleksandr Erokhin,aleksandr erokhin,,Russia,,,,,statsbomb,6354
sb_15994,Anton Miranchuk,anton miranchuk,,Russia,,,,,statsbomb,15994
sb_16305,Andrey Lunev,andrey lunev,,Russia,,,,,statsbomb,16305
sb_34588,Andrey Semenov,andrey semenov,,Russia,,,,,statsbomb,34588
sb_42882,Vladimir Gabulov,vladimir gabulov,,Russia,,,,,statsbomb,42882
sb_5679,Yūya Ōsako,yuya osako,,Japan,,,,,statsbomb,5679
sb_5681,Makoto Hasebe,makoto hasebe,,Japan,,,,,statsbomb,5681
sb_5682,Gen Shōji,gen shoji,,Japan,,,,,statsbomb,5682
sb_5683,Keisuke Honda,keisuke honda,,Japan,,,,,statsbomb,5683
sb_5684,Shinji Kagawa,shinji kagawa,,Japan,,,,,statsbomb,5684
sb_5687,Takashi Inui,takashi inui,,Japan,,,,,statsbomb,5687
sb_5694,Hotaru Yamaguchi,hotaru yamaguchi,,Japan,,,,,statsbomb,5694
sb_5697,Genki Haraguchi,genki haraguchi,,Japan,,,,,statsbomb,5697
sb_6191,Takashi Usami,takashi usami,,Japan,,,,,statsbomb,6191
sb_6337,Yoshinori Muto,yoshinori muto,,Japan,,,,,statsbomb,6337
sb_6338,Tomoaki Makino,tomoaki makino,,Japan,,,,,statsbomb,6338
sb_6339,Gotoku Sakai,gotoku sakai,,Japan,,,,,statsbomb,6339
sb_24015,Naomichi Ueda,naomichi ueda,,Japan,,,,,statsbomb,24015
sb_37194,Ryota Oshima,ryota oshima,,Japan,,,,,statsbomb,37194
sb_37486,Masaaki Higashiguchi,masaaki higashiguchi,,Japan,,,,,statsbomb,37486
sb_42236,Kosuke Nakamura,kosuke nakamura,,Japan,,,,,statsbomb,42236
sb_5180,Alan Dzagoev,alan dzagoev,,Russia,,,,,statsbomb,5180
sb_3799,Youssef Aït Bennasser,youssef ait bennasser,,Morocco,,,,,statsbomb,3799
sb_20837,Marko Lešković,marko leskovic,,Croatia,,,,,statsbomb,20837
sb_24035,Álvaro Vázquez García,alvaro vazquez garcia,,Spain,,,,,statsbomb,24035
sb_26304,Adrián Nicolás Luna Retamar,adrian nicolas luna retamar,,Uruguay,,,,,statsbomb,26304
sb_28251,Jorge Rolando Pereyra Díaz,jorge rolando pereyra diaz,,Argentina,,,,,statsbomb,28251
sb_127056,Nishu Kumar Tashni,nishu kumar tashni,,India,,,,,statsbomb,127056
sb_163335,Chencho Gyeltshen,chencho gyeltshen,,Bhutan,,,,,statsbomb,163335
sb_163347,Prabhushkan Singh Gill,prabhushkan singh gill,,India,,,,,statsbomb,163347
sb_163351,Soraisham Sandeep Singh,soraisham sandeep singh,,India,,,,,statsbomb,163351
sb_163352,Prasanth Karuthadathkuni,prasanth karuthadathkuni,,India,,,,,statsbomb,163352
sb_163354,Rahul Kannoly Praveen,rahul kannoly praveen,,India,,,,,statsbomb,163354
sb_163355,Jeakson Singh Thaunaojam,jeakson singh thaunaojam,,India,,,,,statsbomb,163355
sb_163356,Harmanjot Singh Khabra,harmanjot singh khabra,,India,,,,,statsbomb,163356
sb_163357,Lalthathanga Khawlhring,lalthathanga khawlhring,,India,,,,,statsbomb,163357
sb_163358,Ayush Adhikari,ayush adhikari,,India,,,,,statsbomb,163358
sb_163359,Bijoy Varghese,bijoy varghese,,India,,,,,statsbomb,163359
sb_164338,Enes Sipović,enes sipovic,,Bosnia and Herzegovina,,,,,statsbomb,164338
sb_164339,Vincy Barretto,vincy barretto,,India,,,,,statsbomb,164339
sb_166558,Hormipam Ruivah,hormipam ruivah,,India,,,,,statsbomb,166558
sb_166559,Sanjeev Stalin,sanjeev stalin,,India,,,,,statsbomb,166559
sb_182329,Karanjit Singh,karanjit singh,,India,,,,,statsbomb,182329
sb_26186,Bartholomew Owogbalor Ogbeche,bartholomew owogbalor ogbeche,,Nigeria,,,,,statsbomb,26186
sb_26675,João Victor de Albuquerque Bruno,joao victor de albuquerque bruno,,Brazil,,,,,statsbomb,26675
sb_32394,Khassa Camara,khassa camara,,Mauritania,,,,,statsbomb,32394
sb_33419,Joel Joseph Chianese,joel joseph chianese,,Australia,,,,,statsbomb,33419
sb_41858,Javier Siverio Toro,javier siverio toro,,Spain,,,,,statsbomb,41858
sb_124903,Akash Mishra,akash mishra,,India,,,,,statsbomb,124903
sb_125109,Mohammad Yasir,mohammad yasir,,India,,,,,statsbomb,125109
sb_125110,Konsham Chinglensana Singh,konsham chinglensana singh,,India,,,,,statsbomb,125110
sb_164477,Gurmeet Singh,gurmeet singh,,India,,,,,statsbomb,164477
sb_164478,Nim Dorjee Tamang,nim dorjee tamang,,India,,,,,statsbomb,164478
sb_164482,Laxmikant Kattimani,laxmikant kattimani,,India,,,,,statsbomb,164482
sb_164483,Juan Antonio González Fernández,juan antonio gonzalez fernandez,,Spain,,,,,statsbomb,164483
sb_164485,Asish Rai,asish rai,,India,,,,,statsbomb,164485
sb_164487,Sahil Tavora,sahil tavora,,India,,,,,statsbomb,164487
sb_164488,Hitesh Sharma,hitesh sharma,,India,,,,,statsbomb,164488
sb_164489,Halicharan Narzary,halicharan narzary,,India,,,,,statsbomb,164489
sb_164490,Souvik Chakrabarti,souvik chakrabarti,,India,,,,,statsbomb,164490
sb_166022,Aniket Anil Jadhav,aniket anil jadhav,,India,,,,,statsbomb,166022
sb_167648,Aaren D''Silva,aaren d silva,,India,,,,,statsbomb,167648
sb_177427,Mark Zothanpuia,mark zothanpuia,,India,,,,,statsbomb,177427
sb_9981,Peter Hartley,peter hartley,,England,,,,,statsbomb,9981
sb_13322,Greg Stewart,greg stewart,,Scotland,,,,,statsbomb,13322
sb_33500,Jordan Murray,jordan murray,,Australia,,,,,statsbomb,33500
sb_124768,Anas Edathodika,anas edathodika,,India,,,,,statsbomb,124768
sb_124777,Narender Gahlot,narender gahlot,,India,,,,,statsbomb,124777
sb_124910,Pronay Halder,pronay halder,,India,,,,,statsbomb,124910
sb_124914,Ishan Pandita,ishan pandita,,India,,,,,statsbomb,124914
sb_127057,Seminlen Doungel,seminlen doungel,,India,,,,,statsbomb,127057
sb_161091,Daniel Chima Chukwu,daniel chima chukwu,,Nigeria,,,,,statsbomb,161091
sb_161096,Pawan Kumar,pawan kumar,,India,,,,,statsbomb,161096
sb_161097,Rehnesh Thumbirumbu Paramba,rehnesh thumbirumbu paramba,,India,,,,,statsbomb,161097
sb_161099,Ricky Lallawmawma,ricky lallawmawma,,India,,,,,statsbomb,161099
sb_161100,Laldinliana Renthlei,laldinliana renthlei,,India,,,,,statsbomb,161100
sb_161101,PC Laldinpuia,pc laldinpuia,,India,,,,,statsbomb,161101
sb_161102,Eli Sabia Filho,eli sabia filho,,Brazil,,,,,statsbomb,161102
sb_161103,Mohammad Mobashir Rahman,mohammad mobashir rahman,,India,,,,,statsbomb,161103
sb_161104,Jitendra Singh,jitendra singh,,India,,,,,statsbomb,161104
sb_161116,Alexandre Monteiro de Lima,alexandre monteiro de lima,,Brazil,,,,,statsbomb,161116
sb_161117,Ritwik Kumar Das,ritwik kumar das,,India,,,,,statsbomb,161117
sb_177869,Sandip Mandi,sandip mandi,,India,,,,,statsbomb,177869
sb_175653,Moirangthem Givson Singh,moirangthem givson singh,,India,,,,,statsbomb,175653
sb_9989,Carl Gerard McHugh,carl gerard mchugh,,Ireland,,,,,statsbomb,9989
